rainfall,river_level,humidity,temperature,soil_moisture,elevation,drainage,urbanization,flood
255.77,0.25,49.25,17.81,76.28,676.7,0.89,0.09,0
168.77,0.3,45.3,27.69,12.39,198.84,0.65,0.54,0
88.18,5.89,86.66,10.23,82.52,698.14,0.34,0.16,0
382.89,3.37,36.49,13.39,86.27,603.73,0.81,0.73,1
214.49,9.73,56.5,29.32,84.65,618.52,0.86,0.58,1
281.83,0.46,45.95,20.13,17.18,232.79,0.1,0.28,0
254.27,3.65,55.91,17.33,34.03,936.65,0.65,0.61,0
68.46,7.29,41.44,23.28,99.06,640.0,0.56,0.68,0
337.14,7.76,46.03,11.12,38.39,267.74,0.21,0.94,1
350.55,3.15,75.88,23.85,92.31,458.85,0.26,0.25,1
224.55,2.63,70.92,41.42,45.95,219.32,1.0,0.51,0
36.36,0.47,37.68,31.96,81.29,422.16,0.06,0.38,0
398.45,5.29,97.98,40.13,11.03,720.72,0.68,0.54,1
106.73,6.41,37.81,25.22,50.84,953.82,0.88,0.26,0
200.23,1.79,93.88,40.47,36.86,638.95,0.61,0.15,0
305.0,5.39,84.5,28.56,10.05,324.16,0.02,0.93,1
351.49,8.32,51.53,12.03,89.02,946.95,0.09,0.49,1
27.69,7.61,83.61,14.49,52.78,549.8,0.27,0.87,0
169.26,2.12,67.75,35.55,28.1,311.72,1.0,0.65,0
175.24,5.18,38.47,17.86,40.43,588.31,0.23,0.22,0
28.4,6.31,46.03,41.69,87.37,70.86,0.24,0.67,0
85.69,1.32,95.49,29.99,52.54,784.62,0.81,0.19,0
38.77,4.31,59.65,26.35,75.62,673.36,0.98,0.1,0
161.05,3.39,90.32,18.7,27.12,448.61,0.42,0.28,0
99.92,9.23,61.02,40.15,59.53,50.59,1.0,0.84,0
387.6,9.26,89.41,15.82,53.71,213.75,0.4,0.06,1
151.59,9.85,48.56,37.44,50.95,423.01,0.96,1.0,0
222.31,7.18,40.84,20.38,97.18,579.18,0.54,0.75,1
22.87,5.84,65.2,39.85,24.17,960.78,0.08,0.19,0
238.01,6.75,46.46,14.2,90.13,246.22,0.59,0.62,1
167.69,5.84,66.59,42.71,28.38,716.19,0.24,0.4,0
268.68,3.0,52.13,36.32,16.53,458.29,1.0,1.0,0
29.3,2.13,48.56,42.66,89.28,879.27,0.37,0.16,0
333.5,7.04,72.82,44.55,68.86,7.82,0.82,0.3,1
265.36,9.39,39.4,14.04,19.63,553.22,0.27,0.6,1
287.04,2.04,74.4,19.24,53.97,905.34,0.85,0.09,0
169.43,2.77,30.25,36.99,67.34,261.96,0.74,0.55,0
171.07,0.1,35.27,40.91,91.35,545.59,0.83,0.58,0
59.24,1.27,51.58,41.46,81.65,860.7,0.9,0.21,0
99.81,1.03,84.61,40.94,46.57,620.66,0.15,0.93,0
345.84,9.76,86.75,40.85,12.23,736.56,0.33,0.93,1
320.89,8.64,86.75,19.34,80.86,108.1,0.87,0.86,1
88.97,8.17,62.22,20.68,81.58,227.6,0.02,0.19,0
131.3,8.64,97.68,19.77,67.73,399.68,0.98,0.54,0
375.69,1.15,97.93,16.25,96.63,265.47,0.11,0.43,1
291.42,3.14,72.43,27.9,44.67,576.59,0.25,0.71,0
0.68,9.26,67.69,35.18,76.78,670.63,0.36,0.07,0
265.7,3.3,51.97,39.68,74.78,300.32,0.31,0.41,0
160.96,2.96,38.91,24.72,94.63,677.32,0.9,0.62,0
120.38,5.48,30.03,20.04,48.69,579.98,0.65,0.46,0
176.86,2.14,63.12,41.54,81.64,169.69,0.08,0.52,0
253.18,3.35,87.29,36.29,70.55,224.64,0.2,0.02,0
97.94,4.75,89.48,12.55,47.3,629.77,0.19,0.7,0
197.75,2.44,75.92,10.19,77.59,770.05,0.11,0.43,0
70.35,9.58,66.26,11.76,32.43,848.34,0.46,0.8,0
267.03,9.88,71.68,43.25,90.23,612.65,0.72,0.5,1
332.23,5.48,92.8,36.03,52.72,259.19,0.25,0.64,1
306.33,5.21,73.87,19.61,16.97,285.73,0.27,0.32,1
216.06,1.38,46.19,34.29,73.58,64.23,0.41,0.54,0
166.31,2.07,59.41,41.67,62.57,695.52,0.86,0.77,0
152.15,0.06,54.62,36.37,86.81,953.43,0.42,0.75,0
218.45,6.03,45.44,17.68,49.23,29.02,0.34,0.68,0
161.73,1.65,62.72,14.47,66.0,26.97,0.39,0.56,0
10.84,6.43,39.5,26.16,14.53,379.1,0.21,0.33,0
304.49,3.79,82.64,39.12,32.7,81.91,0.02,0.54,1
399.96,3.5,75.51,37.34,68.66,754.23,0.95,0.2,1
8.15,1.52,38.84,33.43,60.76,217.96,0.7,0.77,0
67.12,6.07,82.35,14.01,83.74,964.72,0.11,0.03,0
124.78,6.77,97.07,23.88,74.35,76.0,0.69,0.63,0
40.76,7.72,89.52,31.01,20.89,983.84,0.78,0.35,0
171.35,3.71,65.42,21.94,86.46,822.33,0.11,0.96,0
254.23,8.29,79.51,25.24,76.04,965.47,0.27,0.81,1
215.27,4.83,60.49,35.59,34.16,851.71,0.83,0.09,0
352.65,2.44,62.53,31.36,44.11,28.7,0.85,0.18,0
84.85,7.98,53.82,40.81,73.11,276.27,0.01,0.95,0
34.25,7.2,64.2,36.54,72.15,645.9,0.49,0.79,0
37.22,2.22,78.43,20.72,62.34,473.26,0.53,0.43,0
298.37,3.31,79.2,19.48,32.63,120.66,0.19,0.12,0
214.35,7.62,42.96,17.57,53.58,724.59,0.98,0.52,0
113.2,1.01,43.59,17.96,26.15,14.15,0.53,0.27,0
389.72,5.53,78.82,14.42,88.16,490.88,0.87,0.57,1
187.76,4.4,42.91,11.8,94.7,477.73,0.82,0.4,0
29.63,6.29,33.75,15.22,60.66,303.84,0.99,0.12,0
305.78,6.06,85.35,17.9,57.03,450.51,0.44,0.86,1
396.01,3.05,73.47,31.34,76.61,947.59,0.21,0.21,1
264.17,1.57,42.17,12.63,10.24,450.5,0.59,0.29,0
92.59,7.07,79.21,25.89,71.86,923.91,0.79,0.63,0
264.47,9.34,59.76,29.06,68.29,908.41,0.83,0.07,1
66.37,3.08,82.43,29.92,35.97,124.35,0.69,0.7,0
377.07,5.0,64.57,12.82,13.59,432.03,0.32,0.25,1
36.53,9.62,88.52,30.13,95.57,999.57,0.67,0.27,0
16.09,7.56,62.94,32.8,92.45,181.49,0.59,0.63,0
196.69,0.91,54.36,21.67,70.31,857.73,0.33,0.69,0
115.29,9.45,86.95,29.25,50.93,314.52,0.32,0.97,1
161.67,5.15,99.17,33.02,58.83,413.25,0.19,0.36,0
302.58,6.25,83.2,17.12,59.43,927.67,0.44,0.7,1
48.57,9.73,72.62,18.38,24.25,550.84,0.55,0.09,0
396.9,9.13,62.3,14.11,84.89,498.38,0.72,0.51,1
109.37,8.35,98.62,18.53,59.61,383.59,0.92,0.51,0
351.73,8.64,49.34,37.65,47.34,934.25,0.51,0.82,1
113.14,2.99,71.09,44.96,54.07,148.6,0.54,0.35,0
220.77,5.43,61.87,21.26,26.98,697.5,0.57,0.23,0
310.22,0.44,82.13,34.68,83.03,386.08,0.66,0.82,0
392.33,4.95,32.59,27.58,63.12,869.7,0.87,0.44,1
210.38,4.57,80.57,24.35,68.93,154.36,0.47,0.97,1
135.42,6.93,75.49,39.81,86.71,859.34,0.38,0.32,0
287.49,7.59,91.07,11.26,16.16,631.16,0.92,1.0,1
298.71,4.34,36.89,32.18,88.53,443.68,0.69,0.9,1
18.4,7.96,50.54,23.12,23.1,531.17,0.57,0.79,0
67.99,0.79,90.96,31.69,31.67,912.83,0.14,0.46,0
101.59,2.55,30.66,38.16,91.11,677.61,0.16,0.44,0
138.23,5.88,74.73,24.85,32.51,845.3,0.2,0.38,0
193.28,2.37,70.03,30.12,99.34,295.23,0.98,0.66,0
109.79,5.66,78.01,36.06,14.41,606.41,0.5,0.9,0
114.48,7.99,72.49,22.33,67.3,620.89,0.68,0.72,0
263.67,8.38,73.98,41.62,68.17,308.93,0.44,0.58,1
292.94,0.9,50.66,36.16,25.81,132.16,0.54,0.97,0
212.34,9.13,88.13,18.99,84.22,481.85,0.81,0.75,1
135.49,1.15,97.4,14.93,96.99,860.14,0.72,0.98,0
386.91,8.05,55.6,37.67,11.25,536.57,0.45,0.67,1
268.94,5.85,87.57,42.91,19.75,233.82,0.03,0.88,1
224.56,9.15,45.5,12.21,84.15,909.39,0.3,0.41,1
55.91,9.46,51.31,27.24,18.75,887.26,0.14,0.45,0
268.19,7.43,96.22,24.67,76.8,154.52,0.41,0.1,1
195.74,4.08,96.61,11.15,43.35,443.38,0.95,0.86,0
39.74,6.86,68.11,44.22,42.28,398.14,0.19,0.12,0
339.21,4.55,76.39,32.46,63.74,21.36,0.79,0.24,1
50.37,5.65,34.8,36.78,28.64,215.95,0.87,0.33,0
59.02,9.01,30.2,40.04,23.02,129.99,0.25,0.17,0
264.42,0.26,31.04,37.65,31.41,323.77,0.17,0.05,0
296.69,5.26,82.2,26.67,80.02,513.24,0.11,0.5,1
378.17,0.43,84.83,40.34,56.93,458.04,0.96,0.06,0
191.59,4.02,78.03,27.16,91.87,73.49,0.08,0.61,1
26.27,2.75,74.32,29.19,39.27,994.63,0.53,0.45,0
242.17,0.99,79.12,39.85,68.58,768.96,0.72,0.22,0
180.62,2.28,53.73,25.87,47.44,95.09,0.43,0.67,0
149.72,1.53,94.61,12.35,84.86,93.23,0.1,0.74,0
324.71,5.56,71.05,29.66,39.67,122.23,0.35,0.67,1
300.11,8.68,80.47,43.89,64.04,351.65,0.58,0.21,1
262.69,2.24,37.58,39.59,43.08,762.61,0.57,0.81,0
338.06,9.75,87.29,31.48,67.84,26.25,0.93,0.83,1
106.98,1.8,79.19,20.81,40.58,6.11,0.87,0.57,0
160.31,1.42,74.32,11.07,77.15,215.13,0.42,0.34,0
148.02,7.22,84.38,29.87,17.65,52.61,0.16,0.62,0
269.59,2.72,76.34,27.0,49.78,273.17,0.75,0.11,0
171.97,2.83,77.49,27.03,70.04,45.42,0.4,0.6,0
3.07,3.01,44.79,14.8,33.0,328.12,0.01,0.75,0
70.28,3.8,79.26,27.51,85.0,806.2,0.07,0.86,0
16.92,0.19,94.48,40.17,61.82,573.4,0.71,0.42,0
46.07,0.21,52.73,38.05,65.63,832.03,0.92,0.09,0
337.79,2.43,71.22,28.34,45.62,310.27,0.34,0.33,0
67.25,5.1,37.98,27.85,91.53,349.38,0.73,0.82,0
326.01,2.36,40.25,16.9,64.22,760.22,0.66,0.18,0
309.14,4.94,82.81,36.6,50.4,924.15,0.56,0.64,1
249.81,8.64,73.91,15.28,16.15,442.21,0.3,0.27,1
22.47,5.07,51.73,25.82,15.12,831.7,0.08,0.86,0
342.12,6.15,65.49,26.19,59.89,791.82,0.9,0.45,1
323.93,6.52,52.51,26.65,23.58,61.87,0.1,0.9,1
137.38,7.14,65.32,16.04,32.3,437.76,0.44,0.52,0
63.5,3.73,49.8,24.31,40.45,597.89,0.79,0.65,0
26.36,0.95,77.49,19.95,75.14,656.56,0.91,0.87,0
133.34,5.83,39.9,22.24,97.09,698.48,0.39,0.6,0
375.2,3.1,56.37,37.71,83.19,670.12,0.83,0.74,1
274.17,5.26,75.22,24.82,42.56,362.6,0.18,0.21,1
379.07,4.86,45.86,14.81,16.94,844.43,0.1,0.77,1
334.05,8.84,32.64,21.79,78.97,131.05,0.38,0.16,1
332.54,7.71,86.63,15.79,49.39,410.86,0.68,0.24,1
177.68,2.85,82.4,25.71,58.06,309.47,0.81,0.47,0
334.05,3.68,96.3,44.46,51.55,281.77,0.38,0.53,1
386.51,8.17,86.09,14.84,32.5,641.18,0.87,0.55,1
41.04,8.46,89.58,19.98,78.68,272.79,0.91,0.15,0
174.99,9.46,45.54,25.79,41.46,26.67,0.05,0.5,1
94.31,9.95,56.24,10.99,93.77,839.18,0.65,0.79,0
55.04,2.87,88.08,34.36,22.49,705.54,0.45,0.01,0
31.69,2.56,88.45,29.21,75.45,527.77,0.11,0.29,0
120.46,0.48,59.39,37.79,51.14,110.86,0.91,0.6,0
6.57,5.15,46.94,15.03,48.63,614.81,0.24,0.42,0
265.75,0.86,98.23,12.37,57.35,507.33,0.99,0.55,0
156.18,4.7,74.5,44.34,32.83,16.24,0.79,0.34,0
293.18,6.28,84.01,35.73,39.93,44.34,0.55,0.81,1
70.04,7.79,62.52,34.34,66.86,811.5,0.06,0.78,0
183.07,2.93,33.07,16.98,13.77,933.37,0.52,0.99,0
217.21,2.53,82.73,16.69,42.13,780.84,0.87,0.33,0
49.79,3.68,92.26,36.02,90.52,386.64,0.97,0.5,0
199.01,9.24,66.35,38.04,75.44,78.93,0.6,0.82,1
218.19,3.21,35.6,33.13,37.58,602.62,0.43,0.69,0
140.62,0.42,90.9,22.34,99.83,274.56,0.98,0.95,0
30.02,6.38,55.43,38.04,71.15,952.79,0.14,0.61,0
312.52,0.35,34.71,37.25,42.97,382.85,0.57,0.61,0
271.62,9.49,56.04,36.71,61.65,529.46,0.4,0.65,1
99.84,1.13,81.5,27.47,44.83,561.67,0.26,0.26,0
178.51,9.96,49.99,42.08,54.21,122.64,0.85,0.45,0
359.47,4.45,36.15,33.87,86.1,319.59,0.35,0.06,1
216.87,8.91,89.6,34.91,93.46,637.7,0.79,0.51,1
48.54,2.01,39.72,37.66,12.37,554.02,0.37,0.8,0
220.66,6.12,36.04,20.83,99.96,718.87,0.53,0.77,0
